pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,wrate,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
62,620443,Luis Torrens,62,100,0.214,0.071,0.375,0.286,0.273,0.302,0.239,3,14,77.8,18.2,2324,89.6,89.04,9,26,0.346153846,36,-0.6,5.98,109,153,120,150,307,320,292
61,453064,Troy Tulowitzki,61,100,0.182,0.364,0.167,0.545,0.354,0.295,0.188,2,11,79.4,16.6,2305,88.8,88.09,7,30,0.233333333,31,-0.7,5.87,103,154,122,147,308,332,281
58,502706,Derek Holland,58,100,0.071,0,0.25,0.071,0.104,0.067,0.02,1,14,55.6,13,2189,89.8,89.49,14,24,0.583333333,31,-0.3,5.94,108,145,103,145,283,306,288
57,476451,Jeremy Hellickson,57,100,0.111,0,0.2,0.111,0.205,0.185,0.097,1,9,71.4,-0.3,2259,89,88.69,2,18,0.111111111,39,-0.3,6.05,118,151,113,151,291,303,270
54,492802,Juan Graterol,54,100,0.222,0,0.286,0.222,0.194,0.23,0.238,4,18,79.2,8.5,2285,90.4,90.35,8,32,0.25,22,-0.1,6.08,110,153,116,148,296,308,283
54,502570,Rocky Gale,54,100,0.133,0,0.25,0.133,0.117,0.151,0.155,2,15,80.4,24.9,2191,86.4,86.16,12,29,0.413793103,25,-0.2,6.05,112,154,114,149,300,311,284
51,605548,Bradley Zimmer,51,100,0,0,0,0,0.049,0.162,0.114,0,13,80.9,7.4,2223,88.7,88.51,12,27,0.444444444,24,-0.2,6.07,117,148,113,152,291,312,302
51,664874,Seby Zavala,51,100,0.083,0,0.333,0.083,0.073,0.101,0.108,1,12,75.8,26.5,2306,91.4,91.44,20,32,0.625,19,0,6.3,105,149,115,146,297,315,280
51,571467,Steven Baron,51,100,0.2,0.1,0.5,0.3,0.211,0.125,0.138,2,10,81.4,4.4,2387,88.1,87.6,9,24,0.375,27,-0.5,5.92,106,153,120,147,309,312,282
50,642547,Freddy Peralta,50,100,0.133,0,0.222,0.133,0.117,0.111,0.125,2,15,70.8,-8.1,2193,87.7,87.06,11,23,0.47826087,26,-0.6,5.91,117,150,112,148,288,301,264
49,643524,Frank Schwindel,49,100,0.067,0,0.077,0.067,0.058,0.17,0.171,1,15,82,17.5,2298,86.1,85.57,4,29,0.137931034,20,-0.5,5.76,112,153,117,144,302,326,304
49,591720,Ronald Torreyes,49,100,0.188,0,0.231,0.188,0.197,0.15,0.114,3,16,79.1,16.8,2240,89.1,89.07,6,27,0.222222222,21,0,6.05,107,150,110,145,291,308,277
47,623168,Tyler Heineman,47,100,0.273,0.364,0.333,0.636,0.373,0.231,0.233,3,11,75,25.1,2310,91.7,91.94,8,25,0.32,21,0.2,6.54,115,147,115,151,288,316,292
47,664062,Tony Gonsolin,47,100,0.308,0,0.444,0.308,0.269,0.237,0.247,4,13,81,5.2,2313,88.5,88.64,7,25,0.28,20,0.1,6.11,111,148,109,148,291,302,272
46,594965,Daniel Ponce de Leon,46,100,0,0,0,0,0.069,0.101,0.04,0,9,62.4,-16,2223,90.3,90.11,7,18,0.388888889,26,-0.2,6.12,109,146,106,148,294,304,271
45,669738,Jake Noll,45,100,0.167,0.083,0.25,0.25,0.214,0.189,0.162,2,12,74.4,6.6,2382,88.8,88.5,8,26,0.307692308,19,-0.3,5.99,104,148,115,141,297,315,287
